time,time,lat,lng,height,dist,dt
2015-08-20 06:48:07.235000+03:00,2015-08-20 03:48:07.235,35.015021000000004,32.519585,136.19999694824222,,
2015-08-20 06:48:24.734000+03:00,2015-08-20 03:48:24.734,35.014953999999996,32.519606,126.5999984741211,0.007693931535344109,0.004860833333333333
2015-08-20 06:48:25.660000+03:00,2015-08-20 03:48:25.660,35.014871,32.519612,123.0,0.009248255168792663,0.0002572222222222222
2015-08-20 06:48:26.819000+03:00,2015-08-20 03:48:26.819,35.014824,32.519653999999996,120.5,0.006478541135899439,0.00032194444444444447
2015-08-20 06:48:27.828000+03:00,2015-08-20 03:48:27.828,35.014776,32.519689,118.9000015258789,0.006218582775014066,0.0002802777777777778
2015-08-20 06:48:29.720000+03:00,2015-08-20 03:48:29.720,35.014703999999995,32.519690999999995,119.9000015258789,0.00801034983573551,0.0005255555555555556
2015-08-20 06:48:30.669000+03:00,2015-08-20 03:48:30.669,35.014657,32.519734,120.9000015258789,0.006533295225312512,0.0002636111111111111
2015-08-20 06:48:33.793000+03:00,2015-08-20 03:48:33.793,35.014563,32.519719,121.6999969482422,0.010544547742467741,0.0008677777777777778
2015-08-20 06:48:34.869000+03:00,2015-08-20 03:48:34.869,35.014549,32.519694,121.1999969482422,0.002757260622421679,0.0002988888888888889
2015-08-20 06:48:37.708000+03:00,2015-08-20 03:48:37.708,35.014515,32.519625,121.6999969482422,0.007335093526836339,0.0007886111111111111
2015-08-20 06:48:38.839000+03:00,2015-08-20 03:48:38.839,35.014505,32.519599,121.8000030517578,0.0026162842041802894,0.00031416666666666664
2015-08-20 06:48:41.980000+03:00,2015-08-20 03:48:41.980,35.014480999999996,32.519514,122.5999984741211,0.008190154949021292,0.0008725
2015-08-20 06:48:42.725000+03:00,2015-08-20 03:48:42.725,35.014472,32.519486,123.0,0.002739212307755015,0.00020694444444444444
2015-08-20 06:48:45.896000+03:00,2015-08-20 03:48:45.896,35.014439,32.519405,122.6999969482422,0.00824174525780917,0.0008808333333333333
2015-08-20 06:48:46.662000+03:00,2015-08-20 03:48:46.662,35.014432,32.519379,122.6999969482422,0.0024927208263157714,0.00021277777777777777
2015-08-20 06:48:49.829000+03:00,2015-08-20 03:48:49.829,35.014414,32.519309,122.6999969482422,0.006684086050566446,0.0008797222222222222
2015-08-20 06:48:50.665000+03:00,2015-08-20 03:48:50.665,35.0144,32.519287,123.3000030517578,0.0025357637911475914,0.00023222222222222223
2015-08-20 06:48:53.692000+03:00,2015-08-20 03:48:53.692,35.014371999999995,32.519211,122.3000030517578,0.007591270384006733,0.0008408333333333333
2015-08-20 06:48:54.662000+03:00,2015-08-20 03:48:54.662,35.014365000000005,32.519187,122.5999984741211,0.0023222802206290696,0.00026944444444444444
2015-08-20 06:48:58.869000+03:00,2015-08-20 03:48:58.869,35.014337,32.519106,122.0,0.008009786896078766,0.0011686111111111112
2015-08-20 06:48:59.663000+03:00,2015-08-20 03:48:59.663,35.014331,32.519084,121.8000030517578,0.0021107048383787407,0.00022055555555555554
2015-08-20 06:49:03.861000+03:00,2015-08-20 03:49:03.861,35.014303000000005,32.519009000000004,122.9000015258789,0.007508851506419155,0.001166111111111111
2015-08-20 06:49:04.663000+03:00,2015-08-20 03:49:04.663,35.014306,32.518989000000005,122.9000015258789,0.0018512106048902198,0.00022277777777777777
2015-08-20 06:49:07.742000+03:00,2015-08-20 03:49:07.742,35.014340000000004,32.518916,123.0999984741211,0.007650439403745145,0.0008552777777777778
2015-08-20 06:50:13.679000+03:00,2015-08-20 03:50:13.679,35.013531,32.517635999999996,115.1999969482422,0.14728986028008362,0.018315833333333333
2015-08-20 06:50:16.767000+03:00,2015-08-20 03:50:16.767,35.013606,32.517589,114.3000030517578,0.009376090518927174,0.0008577777777777777
2015-08-20 06:50:17.719000+03:00,2015-08-20 03:50:17.719,35.01363,32.517573999999996,114.1999969482422,0.0030000555881914553,0.00026444444444444443
2015-08-20 06:50:20.748000+03:00,2015-08-20 03:50:20.748,35.013705,32.517528999999996,113.8000030517578,0.009294944174834391,0.0008413888888888889
2015-08-20 06:50:21.681000+03:00,2015-08-20 03:50:21.681,35.013729999999995,32.517511999999996,114.1999969482422,0.0031823937242800183,0.00025916666666666666
2015-08-20 06:50:24.735000+03:00,2015-08-20 03:50:24.735,35.013809,32.517459,114.0,0.01002590420164053,0.0008483333333333333
2015-08-20 06:50:25.677000+03:00,2015-08-20 03:50:25.677,35.013834,32.517441999999996,113.0999984741211,0.003180976492535596,0.00026166666666666667
2015-08-20 06:50:28.738000+03:00,2015-08-20 03:50:28.738,35.013903000000006,32.517389,112.5999984741211,0.009067053733529677,0.0008502777777777778
2015-08-20 06:50:29.673000+03:00,2015-08-20 03:50:29.673,35.013925,32.517373,113.5,0.002848953008651757,0.0002597222222222222
2015-08-20 06:50:32.816000+03:00,2015-08-20 03:50:32.816,35.013991,32.517323,113.5999984741211,0.00863973672908186,0.0008730555555555555
2015-08-20 06:50:33.682000+03:00,2015-08-20 03:50:33.682,35.014012,32.517306,113.4000015258789,0.002804285805310852,0.00024055555555555554
2015-08-20 06:50:36.749000+03:00,2015-08-20 03:50:36.749,35.014075,32.517254,114.5999984741211,0.008459359793421307,0.0008519444444444445
2015-08-20 06:50:37.744000+03:00,2015-08-20 03:50:37.744,35.014095000000005,32.517236,114.1999969482422,0.0027637944245273243,0.0002763888888888889
2015-08-20 06:50:40.735000+03:00,2015-08-20 03:50:40.735,35.014148,32.517183,115.5,0.00761972885450601,0.0008308333333333334
